p1.Name,p1.Log2FoldChange,p1.MicrocephalyRelated,r.combined_score,p2.Name,p2.Log2FoldChange,p2.MicrocephalyRelated
TUBA1A,-0.544,true,0.411,ACTG2,-0.862,true
EIF2AK2,2.24,true,0.873,ADAR,0.881,true
IFIH1,7.776,true,0.851,ADAR,0.881,true
SAMHD1,1.967,true,0.864,ADAR,0.881,true
SP110,4.049,true,0.474,ADAR,0.881,true
TREX1,0.526,true,0.643,ADAR,0.881,true
USP18,5.139,true,0.587,ADAR,0.881,true
APOBEC3F,0.804,null,0.402,ADAR,0.881,true
BST2,8.756,null,0.461,ADAR,0.881,true
CMPK2,3.282,null,0.451,ADAR,0.881,true
CMTR1,0.0,null,0.415,ADAR,0.881,true
COG3,0.585,null,0.533,ADAR,0.881,true
DDX58,4.068,null,0.766,ADAR,0.881,true
DDX60,5.701,null,0.506,ADAR,0.881,true
DHX58,4.05,null,0.598,ADAR,0.881,true
DTX3L,3.653,null,0.427,ADAR,0.881,true
DVL1,-0.558,null,0.757,ADAR,0.881,true
HELZ2,0.0,null,0.417,ADAR,0.881,true
HERC5,4.008,null,0.51,ADAR,0.881,true
HERC6,4.332,null,0.42,ADAR,0.881,true
IFI16,4.336,null,0.572,ADAR,0.881,true
IFI27,4.34,null,0.407,ADAR,0.881,true
IFI35,2.561,null,0.482,ADAR,0.881,true
IFI44,6.963,null,0.515,ADAR,0.881,true
IFI44L,5.515,null,0.571,ADAR,0.881,true
IFI6,6.886,null,0.467,ADAR,0.881,true
IFIT1,5.051,null,0.699,ADAR,0.881,true
IFIT2,6.169,null,0.535,ADAR,0.881,true
IFIT3,5.672,null,0.641,ADAR,0.881,true
IFIT5,2.509,null,0.505,ADAR,0.881,true
IFITM1,7.056,null,0.45,ADAR,0.881,true
IFITM3,1.9,null,0.406,ADAR,0.881,true
IFNB1,7.722,null,0.478,ADAR,0.881,true
IRF1,1.782,null,0.405,ADAR,0.881,true
IRF7,2.612,null,0.686,ADAR,0.881,true
IRF9,4.241,null,0.819,ADAR,0.881,true
ISG15,6.076,null,0.673,ADAR,0.881,true
ISG20,0.61,null,0.433,ADAR,0.881,true
MBNL2,0.489,null,0.605,ADAR,0.881,true
MX1,6.495,null,0.723,ADAR,0.881,true
MX2,2.623,null,0.578,ADAR,0.881,true
NONO,-0.828,null,0.401,ADAR,0.881,true
OAS1,8.029,null,0.696,ADAR,0.881,true
OAS2,5.764,null,0.66,ADAR,0.881,true
OAS3,2.878,null,0.689,ADAR,0.881,true
OASL,7.594,null,0.484,ADAR,0.881,true
PARP12,4.326,null,0.514,ADAR,0.881,true
PARP14,3.908,null,0.439,ADAR,0.881,true
PARP9,3.938,null,0.539,ADAR,0.881,true
PNPT1,1.445,null,0.448,ADAR,0.881,true
RSAD2,3.101,null,0.599,ADAR,0.881,true
RTP4,3.123,null,0.421,ADAR,0.881,true
SLC7A2,-0.596,null,0.473,ADAR,0.881,true
STAT1,4.095,null,0.833,ADAR,0.881,true
STAT2,1.3,null,0.793,ADAR,0.881,true
TAP1,4.812,null,0.422,ADAR,0.881,true
TLR3,4.082,null,0.528,ADAR,0.881,true
TRANK1,2.933,null,0.465,ADAR,0.881,true
TRIM22,4.248,null,0.427,ADAR,0.881,true
TRIM25,2.637,null,0.451,ADAR,0.881,true
TRIM5,0.631,null,0.429,ADAR,0.881,true
ZC3HAV1,2.077,null,0.471,ADAR,0.881,true
ZNFX1,1.162,null,0.619,ADAR,0.881,true
CARS1,0.0,true,0.536,ASNS,1.093,true
GPT2,0.527,true,0.61,ASNS,1.093,true
PSPH,0.502,true,0.708,ASNS,1.093,true
SHMT2,0.856,true,0.778,ASNS,1.093,true
SLC1A4,0.719,true,0.502,ASNS,1.093,true
ATF3,1.882,null,0.613,ASNS,1.093,true
CEBPB,0.978,null,0.769,ASNS,1.093,true
CHAC1,1.872,null,0.807,ASNS,1.093,true
CTH,0.724,null,0.557,ASNS,1.093,true
DDIT3,2.369,null,0.497,ASNS,1.093,true
DDIT4,1.561,null,0.559,ASNS,1.093,true
DNAJB9,0.524,null,0.424,ASNS,1.093,true
FADS6,1.372,null,0.583,ASNS,1.093,true
GLS,1.251,null,0.551,ASNS,1.093,true
MTHFD2,0.894,null,0.717,ASNS,1.093,true
PCK2,1.425,null,0.527,ASNS,1.093,true
PPP1R15A,1.21,null,0.652,ASNS,1.093,true
SESN2,1.159,null,0.467,ASNS,1.093,true
SLC3A2,1.22,null,0.767,ASNS,1.093,true
SLC7A11,1.074,null,0.471,ASNS,1.093,true
SLC7A5,1.044,null,0.848,ASNS,1.093,true
TRIB3,1.504,null,0.902,ASNS,1.093,true
TRIM69,0.591,null,0.608,ASNS,1.093,true
XBP1,1.039,null,0.546,ASNS,1.093,true
ALDH1L2,1.236,null,0.439,ASNS,1.093,true
CARS1,0.0,true,0.499,BCL11A,0.821,true
BCL6,0.959,null,0.889,BCL11A,0.821,true
GATA3,1.167,null,0.419,BCL11A,0.821,true
HBG1,2.115,null,0.956,BCL11A,0.821,true
JAZF1,0.518,null,0.425,BCL11A,0.821,true
JUN,1.069,null,0.538,BCL11A,0.821,true
LMO2,1.558,null,0.598,BCL11A,0.821,true
MEF2C,1.558,null,0.643,BCL11A,0.821,true
CDC42,-0.76,true,0.431,BDNF,0.811,true
EIF2AK2,2.24,true,0.487,BDNF,0.811,true
FGF8,2.232,true,0.778,BDNF,0.811,true
CASP1,3.22,null,0.457,BDNF,0.811,true
CAV1,1.578,null,0.432,BDNF,0.811,true
CCL5,4.62,null,0.448,BDNF,0.811,true
CRTC2,0.575,null,0.504,BDNF,0.811,true
EGR1,0.776,null,0.643,BDNF,0.811,true
FOS,2.373,null,0.748,BDNF,0.811,true
FOSB,1.005,null,0.531,BDNF,0.811,true
GADD45B,0.566,null,0.47,BDNF,0.811,true
H3-3B,0.0,null,0.514,BDNF,0.811,true
ICAM1,1.925,null,0.621,BDNF,0.811,true
IGF2,2.695,null,0.65,BDNF,0.811,true
IL15,2.009,null,0.413,BDNF,0.811,true
JUN,1.069,null,0.644,BDNF,0.811,true
KLF4,2.65,null,0.433,BDNF,0.811,true
PPARGC1A,1.045,null,0.589,BDNF,0.811,true
PRKACA,-0.36,null,0.648,BDNF,0.811,true
SYNPR,1.44,null,0.443,BDNF,0.811,true
VAMP2,0.539,null,0.401,BDNF,0.811,true
AGRN,0.47,null,0.597,BDNF,0.811,true
ALB,1.099,null,0.684,BDNF,0.811,true
ANGPT2,1.268,null,0.578,BDNF,0.811,true
ATF3,1.882,null,0.554,BDNF,0.811,true
B2M,1.85,null,0.591,BDNF,0.811,true
BCL2,-0.427,null,0.793,BDNF,0.811,true
SHMT2,0.856,true,0.452,CARS1,0.0,true
SLC1A4,0.719,true,0.425,CARS1,0.0,true
TRIT1,0.437,true,0.438,CARS1,0.0,true
CHAC1,1.872,null,0.453,CARS1,0.0,true
CTH,0.724,null,0.646,CARS1,0.0,true
SLC3A2,1.22,null,0.431,CARS1,0.0,true
SLC7A11,1.074,null,0.477,CARS1,0.0,true
SQOR,0.0,null,0.466,CARS1,0.0,true
TRIB3,1.504,null,0.429,CARS1,0.0,true
ASNS,1.093,true,0.536,CARS1,0.0,true
BCL11A,0.821,true,0.499,CARS1,0.0,true
AIFM2,0.845,null,0.415,CARS1,0.0,true
EIF2AK2,2.24,true,0.482,CDC42,-0.76,true
TUBA1A,-0.544,true,0.934,CDC42,-0.76,true
CHN2,1.04,null,0.439,CDC42,-0.76,true
COG3,0.585,null,0.59,CDC42,-0.76,true
DVL1,-0.558,null,0.497,CDC42,-0.76,true
EPN2,-0.666,null,0.419,CDC42,-0.76,true
FGR,1.236,null,0.408,CDC42,-0.76,true
FOS,2.373,null,0.455,CDC42,-0.76,true
HCFC2,0.588,null,0.414,CDC42,-0.76,true
ICAM1,1.925,null,0.449,CDC42,-0.76,true
ITGB2,2.909,null,0.57,CDC42,-0.76,true
JAK2,0.503,null,0.461,CDC42,-0.76,true
JUN,1.069,null,0.686,CDC42,-0.76,true
LRP2,-0.969,null,0.409,CDC42,-0.76,true
MEF2B,0.616,null,0.53,CDC42,-0.76,true
MEF2C,1.558,null,0.621,CDC42,-0.76,true
PRKACA,-0.36,null,0.651,CDC42,-0.76,true
PRKCQ,0.539,null,0.407,CDC42,-0.76,true
RAB35,-0.555,null,0.434,CDC42,-0.76,true
STAT1,4.095,null,0.55,CDC42,-0.76,true
TLN2,-0.525,null,0.64,CDC42,-0.76,true
TUBA8,0.5,null,0.925,CDC42,-0.76,true
VAMP2,0.539,null,0.485,CDC42,-0.76,true
WHAMM,0.972,null,0.943,CDC42,-0.76,true
WIPF2,-0.531,null,0.712,CDC42,-0.76,true
BDNF,0.811,true,0.431,CDC42,-0.76,true
ABL1,-0.407,null,0.781,CDC42,-0.76,true
ALB,1.099,null,0.532,CDC42,-0.76,true
AMOT,-1.994,null,0.645,CDC42,-0.76,true
ANGPT2,1.268,null,0.414,CDC42,-0.76,true
ARHGAP29,-1.071,null,0.797,CDC42,-0.76,true
ARHGAP4,-0.446,null,0.605,CDC42,-0.76,true
ARHGAP42,-0.562,null,0.482,CDC42,-0.76,true
ARHGAP9,2.472,null,0.738,CDC42,-0.76,true
BCL2,-0.427,null,0.503,CDC42,-0.76,true
CAV1,1.578,null,0.739,CDC42,-0.76,true
CAV2,0.83,null,0.45,CDC42,-0.76,true
CCL5,4.62,null,0.449,CDC42,-0.76,true
CD8A,0.975,null,0.405,CDC42,-0.76,true
FAM174B,-0.412,null,0.437,CHD2,0.535,true
FOS,2.373,null,0.422,CLN8,-0.552,true
IFIH1,7.776,true,0.962,EIF2AK2,2.24,true
SAMD9L,4.595,true,0.624,EIF2AK2,2.24,true
SP110,4.049,true,0.691,EIF2AK2,2.24,true
USP18,5.139,true,0.875,EIF2AK2,2.24,true
EPSTI1,1.991,null,0.614,EIF2AK2,2.24,true
GBP1,2.913,null,0.601,EIF2AK2,2.24,true
HELZ2,0.0,null,0.783,EIF2AK2,2.24,true
HERC5,4.008,null,0.917,EIF2AK2,2.24,true
HERC6,4.332,null,0.802,EIF2AK2,2.24,true
IFI16,4.336,null,0.778,EIF2AK2,2.24,true
IFI27,4.34,null,0.732,EIF2AK2,2.24,true
IFI35,2.561,null,0.722,EIF2AK2,2.24,true
IFI44,6.963,null,0.951,EIF2AK2,2.24,true
IFI44L,5.515,null,0.927,EIF2AK2,2.24,true
IFI6,6.886,null,0.811,EIF2AK2,2.24,true
IFIT1,5.051,null,0.993,EIF2AK2,2.24,true
IFIT2,6.169,null,0.87,EIF2AK2,2.24,true
IFIT3,5.672,null,0.943,EIF2AK2,2.24,true
IFIT5,2.509,null,0.855,EIF2AK2,2.24,true
IFITM1,7.056,null,0.711,EIF2AK2,2.24,true
IFITM2,1.809,null,0.528,EIF2AK2,2.24,true
IFITM3,1.9,null,0.839,EIF2AK2,2.24,true
IFNB1,7.722,null,0.794,EIF2AK2,2.24,true
IFNL1,0.0,null,0.705,EIF2AK2,2.24,true
IRF1,1.782,null,0.66,EIF2AK2,2.24,true
IRF7,2.612,null,0.885,EIF2AK2,2.24,true
IRF9,4.241,null,0.769,EIF2AK2,2.24,true
ISG15,6.076,null,0.991,EIF2AK2,2.24,true
ISG20,0.61,null,0.662,EIF2AK2,2.24,true
JUN,1.069,null,0.629,EIF2AK2,2.24,true
LY6E,3.259,null,0.569,EIF2AK2,2.24,true
MBNL2,0.489,null,0.512,EIF2AK2,2.24,true
MX1,6.495,null,0.979,EIF2AK2,2.24,true
MX2,2.623,null,0.912,EIF2AK2,2.24,true
OAS1,8.029,null,0.929,EIF2AK2,2.24,true
OAS2,5.764,null,0.934,EIF2AK2,2.24,true
OAS3,2.878,null,0.959,EIF2AK2,2.24,true
OASL,7.594,null,0.773,EIF2AK2,2.24,true
PARP12,4.326,null,0.668,EIF2AK2,2.24,true
PARP14,3.908,null,0.672,EIF2AK2,2.24,true
PARP9,3.938,null,0.774,EIF2AK2,2.24,true
PLSCR1,3.064,null,0.558,EIF2AK2,2.24,true
PNPT1,1.445,null,0.507,EIF2AK2,2.24,true
PPP1R15A,1.21,null,0.697,EIF2AK2,2.24,true
PRKACA,-0.36,null,0.402,EIF2AK2,2.24,true
PSMB9,1.113,null,0.401,EIF2AK2,2.24,true
RSAD2,3.101,null,0.953,EIF2AK2,2.24,true
RTP4,3.123,null,0.529,EIF2AK2,2.24,true
SAMD9,5.041,null,0.584,EIF2AK2,2.24,true
SH2D3C,0.775,null,0.438,EIF2AK2,2.24,true
SOCS1,1.12,null,0.641,EIF2AK2,2.24,true
SP100,5.123,null,0.478,EIF2AK2,2.24,true
STAT1,4.095,null,0.98,EIF2AK2,2.24,true
STAT2,1.3,null,0.88,EIF2AK2,2.24,true
TLR3,4.082,null,0.772,EIF2AK2,2.24,true
TNFSF10,2.397,null,0.527,EIF2AK2,2.24,true
TRIM21,2.29,null,0.6,EIF2AK2,2.24,true
TRIM22,4.248,null,0.737,EIF2AK2,2.24,true
TRIM25,2.637,null,0.866,EIF2AK2,2.24,true
TRIM5,0.631,null,0.7,EIF2AK2,2.24,true
UBA7,0.935,null,0.405,EIF2AK2,2.24,true
USP41,5.179,null,0.602,EIF2AK2,2.24,true
XAF1,2.24,null,0.897,EIF2AK2,2.24,true
XBP1,1.039,null,0.843,EIF2AK2,2.24,true
ZC3HAV1,2.077,null,0.579,EIF2AK2,2.24,true
ZNFX1,1.162,null,0.591,EIF2AK2,2.24,true
ADAR,0.881,true,0.873,EIF2AK2,2.24,true
BDNF,0.811,true,0.487,EIF2AK2,2.24,true
CDC42,-0.76,true,0.482,EIF2AK2,2.24,true
ALB,1.099,null,0.419,EIF2AK2,2.24,true
ATF3,1.882,null,0.456,EIF2AK2,2.24,true
BCL2,-0.427,null,0.559,EIF2AK2,2.24,true
BST2,8.756,null,0.685,EIF2AK2,2.24,true
CASP1,3.22,null,0.61,EIF2AK2,2.24,true
CCL5,4.62,null,0.453,EIF2AK2,2.24,true
CCNA2,-0.639,null,0.497,EIF2AK2,2.24,true
CD8A,0.975,null,0.48,EIF2AK2,2.24,true
CMPK2,3.282,null,0.745,EIF2AK2,2.24,true
CXCL10,6.996,null,0.601,EIF2AK2,2.24,true
DDIT3,2.369,null,0.792,EIF2AK2,2.24,true
DDX58,4.068,null,0.991,EIF2AK2,2.24,true
DDX60,5.701,null,0.701,EIF2AK2,2.24,true
DHX58,4.05,null,0.87,EIF2AK2,2.24,true
DNAJB9,0.524,null,0.449,EIF2AK2,2.24,true
FOS,2.373,null,0.426,FGF8,2.232,true
H3-3B,0.0,null,0.405,FGF8,2.232,true
ICAM1,1.925,null,0.466,FGF8,2.232,true
IGF2,2.695,null,0.625,FGF8,2.232,true
IL15,2.009,null,0.438,FGF8,2.232,true
JUN,1.069,null,0.479,FGF8,2.232,true
KLF4,2.65,null,0.493,FGF8,2.232,true
SDC1,-0.438,null,0.759,FGF8,2.232,true
SIX1,1.292,null,0.419,FGF8,2.232,true
TSKU,-0.522,null,0.47,FGF8,2.232,true
VEGFD,0.0,null,0.488,FGF8,2.232,true
BDNF,0.811,true,0.778,FGF8,2.232,true
ALB,1.099,null,0.755,FGF8,2.232,true
ANGPT2,1.268,null,0.513,FGF8,2.232,true
BCL2,-0.427,null,0.446,FGF8,2.232,true
CCL5,4.62,null,0.507,FGF8,2.232,true
CD8A,0.975,null,0.4,FGF8,2.232,true
CNPY1,0.744,null,0.73,FGF8,2.232,true
COL18A1,0.0,null,0.678,FGF8,2.232,true
CXCL1,3.577,null,0.4,FGF8,2.232,true
CXCL10,6.996,null,0.487,FGF8,2.232,true
ELN,1.082,null,0.651,FGF8,2.232,true
PSPH,0.502,true,0.407,GPT2,0.527,true
SHMT2,0.856,true,0.496,GPT2,0.527,true
PCK2,1.425,null,0.471,GPT2,0.527,true
SREBF1,0.489,null,0.45,GPT2,0.527,true
ASNS,1.093,true,0.61,GPT2,0.527,true
ALB,1.099,null,0.892,GPT2,0.527,true
ATP4A,3.194,null,0.413,GPT2,0.527,true
BCL2,-0.427,null,0.409,GPT2,0.527,true
CD8A,0.975,null,0.475,GPT2,0.527,true
CTH,0.724,null,0.562,GPT2,0.527,true
SAMD9L,4.595,true,0.81,IFIH1,7.776,true
SAMHD1,1.967,true,0.675,IFIH1,7.776,true
SP110,4.049,true,0.643,IFIH1,7.776,true
TREX1,0.526,true,0.496,IFIH1,7.776,true
USP18,5.139,true,0.857,IFIH1,7.776,true
IFIT1,5.051,null,0.982,IFIH1,7.776,true
IFIT2,6.169,null,0.976,IFIH1,7.776,true
IFIT3,5.672,null,0.972,IFIH1,7.776,true
IFIT5,2.509,null,0.889,IFIH1,7.776,true
IFITM1,7.056,null,0.777,IFIH1,7.776,true
IFITM2,1.809,null,0.47,IFIH1,7.776,true
IFITM3,1.9,null,0.757,IFIH1,7.776,true
IFNB1,7.722,null,0.946,IFIH1,7.776,true
IFNL1,0.0,null,0.682,IFIH1,7.776,true
IL15,2.009,null,0.503,IFIH1,7.776,true
IRF1,1.782,null,0.786,IFIH1,7.776,true
IRF7,2.612,null,0.974,IFIH1,7.776,true
IRF9,4.241,null,0.896,IFIH1,7.776,true
ISG15,6.076,null,0.994,IFIH1,7.776,true
ISG20,0.61,null,0.767,IFIH1,7.776,true
JAK2,0.503,null,0.425,IFIH1,7.776,true
LAP3,1.459,null,0.56,IFIH1,7.776,true
LY6E,3.259,null,0.469,IFIH1,7.776,true
MX1,6.495,null,0.966,IFIH1,7.776,true
MX2,2.623,null,0.812,IFIH1,7.776,true
NLRC5,0.668,null,0.994,IFIH1,7.776,true
NMI,3.042,null,0.637,IFIH1,7.776,true
OAS1,8.029,null,0.939,IFIH1,7.776,true
OAS2,5.764,null,0.932,IFIH1,7.776,true
OAS3,2.878,null,0.921,IFIH1,7.776,true
OASL,7.594,null,0.94,IFIH1,7.776,true
PARP12,4.326,null,0.799,IFIH1,7.776,true
PARP14,3.908,null,0.879,IFIH1,7.776,true
PARP9,3.938,null,0.888,IFIH1,7.776,true
PIAS1,-1.128,null,0.52,IFIH1,7.776,true
PLSCR1,3.064,null,0.705,IFIH1,7.776,true
PNPT1,1.445,null,0.588,IFIH1,7.776,true
PSMB8,3.346,null,0.496,IFIH1,7.776,true
PSMB9,1.113,null,0.492,IFIH1,7.776,true
RIPK2,0.562,null,0.505,IFIH1,7.776,true
RNF123,1.398,null,0.59,IFIH1,7.776,true
RSAD2,3.101,null,0.954,IFIH1,7.776,true
RTP4,3.123,null,0.803,IFIH1,7.776,true
SAMD9,5.041,null,0.837,IFIH1,7.776,true
SH2D3C,0.775,null,0.545,IFIH1,7.776,true
SOCS1,1.12,null,0.554,IFIH1,7.776,true
SP100,5.123,null,0.601,IFIH1,7.776,true
STAT1,4.095,null,0.963,IFIH1,7.776,true
STAT2,1.3,null,0.888,IFIH1,7.776,true
TAP1,4.812,null,0.508,IFIH1,7.776,true
TDRD7,3.174,null,0.597,IFIH1,7.776,true
TLR3,4.082,null,0.975,IFIH1,7.776,true
TNFAIP3,2.31,null,0.548,IFIH1,7.776,true
TNFSF10,2.397,null,0.538,IFIH1,7.776,true
TRAF1,1.866,null,0.464,IFIH1,7.776,true
TRIM14,2.709,null,0.458,IFIH1,7.776,true
TRIM21,2.29,null,0.812,IFIH1,7.776,true
TRIM22,4.248,null,0.638,IFIH1,7.776,true
TRIM25,2.637,null,0.98,IFIH1,7.776,true
TRIM5,0.631,null,0.565,IFIH1,7.776,true
TRIM56,0.64,null,0.502,IFIH1,7.776,true
UBA7,0.935,null,0.478,IFIH1,7.776,true
UNC93B1,0.381,null,0.502,IFIH1,7.776,true
