p1.Name,p1.Log2FoldChange,p1.MicrocephalyRelated,r.combined_score,p2.Name,p2.Log2FoldChange,p2.MicrocephalyRelated
XAF1,2.24,null,0.849,IFIH1,7.776,true
ZC3HAV1,2.077,null,0.638,IFIH1,7.776,true
ZNFX1,1.162,null,0.644,IFIH1,7.776,true
ADAR,0.881,true,0.851,IFIH1,7.776,true
EIF2AK2,2.24,true,0.962,IFIH1,7.776,true
B2M,1.85,null,0.627,IFIH1,7.776,true
BST2,8.756,null,0.678,IFIH1,7.776,true
CASP1,3.22,null,0.675,IFIH1,7.776,true
CCL5,4.62,null,0.765,IFIH1,7.776,true
CD8A,0.975,null,0.602,IFIH1,7.776,true
CMPK2,3.282,null,0.808,IFIH1,7.776,true
CXCL10,6.996,null,0.891,IFIH1,7.776,true
CXCL11,5.091,null,0.591,IFIH1,7.776,true
DDX58,4.068,null,0.96,IFIH1,7.776,true
DDX60,5.701,null,0.987,IFIH1,7.776,true
DDX60L,5.26,null,0.646,IFIH1,7.776,true
DHX58,4.05,null,0.999,IFIH1,7.776,true
DTX3L,3.653,null,0.638,IFIH1,7.776,true
EPSTI1,1.991,null,0.851,IFIH1,7.776,true
GBP1,2.913,null,0.87,IFIH1,7.776,true
GBP5,2.369,null,0.621,IFIH1,7.776,true
HELZ2,0.0,null,0.632,IFIH1,7.776,true
HERC5,4.008,null,0.925,IFIH1,7.776,true
HERC6,4.332,null,0.866,IFIH1,7.776,true
HLA-B,0.902,null,0.434,IFIH1,7.776,true
HLA-C,0.891,null,0.403,IFIH1,7.776,true
ICAM1,1.925,null,0.42,IFIH1,7.776,true
IFI16,4.336,null,0.774,IFIH1,7.776,true
IFI27,4.34,null,0.785,IFIH1,7.776,true
IFI35,2.561,null,0.843,IFIH1,7.776,true
IFI44,6.963,null,0.954,IFIH1,7.776,true
IFI44L,5.515,null,0.904,IFIH1,7.776,true
IFI6,6.886,null,0.845,IFIH1,7.776,true
SHMT2,0.856,true,0.996,PSPH,0.502,true
SLC1A4,0.719,true,0.551,PSPH,0.502,true
TRIT1,0.437,true,0.482,PSPH,0.502,true
SDSL,0.443,null,0.933,PSPH,0.502,true
ASNS,1.093,true,0.708,PSPH,0.502,true
GPT2,0.527,true,0.407,PSPH,0.502,true
ALDH1L2,1.236,null,0.419,PSPH,0.502,true
CHAC1,1.872,null,0.427,PSPH,0.502,true
CTH,0.724,null,0.601,PSPH,0.502,true
DMGDH,1.907,null,0.579,PSPH,0.502,true
ELN,1.082,null,0.688,PSPH,0.502,true
MTHFD2,0.894,null,0.695,PSPH,0.502,true
PCK2,1.425,null,0.409,PSPH,0.502,true
SAMHD1,1.967,true,0.456,SAMD9L,4.595,true
SP110,4.049,true,0.777,SAMD9L,4.595,true
USP18,5.139,true,0.685,SAMD9L,4.595,true
SP100,5.123,null,0.661,SAMD9L,4.595,true
STAT1,4.095,null,0.887,SAMD9L,4.595,true
STAT2,1.3,null,0.571,SAMD9L,4.595,true
TAP1,4.812,null,0.455,SAMD9L,4.595,true
TAP2,2.655,null,0.423,SAMD9L,4.595,true
TDRD7,3.174,null,0.463,SAMD9L,4.595,true
TLR3,4.082,null,0.515,SAMD9L,4.595,true
TNFSF10,2.397,null,0.424,SAMD9L,4.595,true
TRIM21,2.29,null,0.511,SAMD9L,4.595,true
TRIM22,4.248,null,0.644,SAMD9L,4.595,true
XAF1,2.24,null,0.87,SAMD9L,4.595,true
ZNFX1,1.162,null,0.429,SAMD9L,4.595,true
EIF2AK2,2.24,true,0.624,SAMD9L,4.595,true
IFIH1,7.776,true,0.81,SAMD9L,4.595,true
BATF2,5.647,null,0.462,SAMD9L,4.595,true
CASP1,3.22,null,0.44,SAMD9L,4.595,true
CMPK2,3.282,null,0.695,SAMD9L,4.595,true
CXCL10,6.996,null,0.622,SAMD9L,4.595,true
DDX58,4.068,null,0.82,SAMD9L,4.595,true
DDX60,5.701,null,0.872,SAMD9L,4.595,true
DDX60L,5.26,null,0.843,SAMD9L,4.595,true
DHX58,4.05,null,0.595,SAMD9L,4.595,true
DTX3L,3.653,null,0.527,SAMD9L,4.595,true
EPSTI1,1.991,null,0.89,SAMD9L,4.595,true
GBP1,2.913,null,0.773,SAMD9L,4.595,true
GBP5,2.369,null,0.718,SAMD9L,4.595,true
HELZ2,0.0,null,0.685,SAMD9L,4.595,true
HERC5,4.008,null,0.648,SAMD9L,4.595,true
HERC6,4.332,null,0.572,SAMD9L,4.595,true
IFI16,4.336,null,0.419,SAMD9L,4.595,true
IFI27,4.34,null,0.462,SAMD9L,4.595,true
IFI35,2.561,null,0.82,SAMD9L,4.595,true
IFI44,6.963,null,0.914,SAMD9L,4.595,true
IFI44L,5.515,null,0.866,SAMD9L,4.595,true
IFI6,6.886,null,0.55,SAMD9L,4.595,true
IFIT1,5.051,null,0.65,SAMD9L,4.595,true
IFIT2,6.169,null,0.853,SAMD9L,4.595,true
IFIT3,5.672,null,0.913,SAMD9L,4.595,true
IFIT5,2.509,null,0.687,SAMD9L,4.595,true
IFITM3,1.9,null,0.44,SAMD9L,4.595,true
IRF1,1.782,null,0.518,SAMD9L,4.595,true
IRF7,2.612,null,0.527,SAMD9L,4.595,true
IRF9,4.241,null,0.443,SAMD9L,4.595,true
ISG15,6.076,null,0.66,SAMD9L,4.595,true
JAK2,0.503,null,0.416,SAMD9L,4.595,true
LAP3,1.459,null,0.404,SAMD9L,4.595,true
MX1,6.495,null,0.643,SAMD9L,4.595,true
MX2,2.623,null,0.636,SAMD9L,4.595,true
OAS1,8.029,null,0.683,SAMD9L,4.595,true
OAS2,5.764,null,0.835,SAMD9L,4.595,true
OAS3,2.878,null,0.738,SAMD9L,4.595,true
OASL,7.594,null,0.679,SAMD9L,4.595,true
PARP10,3.298,null,0.401,SAMD9L,4.595,true
PARP12,4.326,null,0.591,SAMD9L,4.595,true
PARP14,3.908,null,0.841,SAMD9L,4.595,true
PARP9,3.938,null,0.872,SAMD9L,4.595,true
PLSCR1,3.064,null,0.457,SAMD9L,4.595,true
PSMB9,1.113,null,0.452,SAMD9L,4.595,true
RSAD2,3.101,null,0.781,SAMD9L,4.595,true
RTP4,3.123,null,0.711,SAMD9L,4.595,true
SAMD9,5.041,null,0.794,SAMD9L,4.595,true
TREX1,0.526,true,0.921,SAMHD1,1.967,true
USP18,5.139,true,0.585,SAMHD1,1.967,true
SH2D3C,0.775,null,0.445,SAMHD1,1.967,true
STAT1,4.095,null,0.746,SAMHD1,1.967,true
STAT2,1.3,null,0.688,SAMHD1,1.967,true
TRIM14,2.709,null,0.423,SAMHD1,1.967,true
TRIM21,2.29,null,0.57,SAMHD1,1.967,true
TRIM22,4.248,null,0.507,SAMHD1,1.967,true
TRIM5,0.631,null,0.889,SAMHD1,1.967,true
XAF1,2.24,null,0.63,SAMHD1,1.967,true
ZC3HAV1,2.077,null,0.544,SAMHD1,1.967,true
ADAR,0.881,true,0.864,SAMHD1,1.967,true
IFIH1,7.776,true,0.675,SAMHD1,1.967,true
SAMD9L,4.595,true,0.456,SAMHD1,1.967,true
APOBEC3F,0.804,null,0.571,SAMHD1,1.967,true
APOBEC3H,1.217,null,0.465,SAMHD1,1.967,true
APOL6,3.839,null,0.489,SAMHD1,1.967,true
BST2,8.756,null,0.896,SAMHD1,1.967,true
CCNA2,-0.639,null,0.911,SAMHD1,1.967,true
CD8A,0.975,null,0.416,SAMHD1,1.967,true
CLEC4A,0.895,null,0.488,SAMHD1,1.967,true
CXCL10,6.996,null,0.4,SAMHD1,1.967,true
DDX58,4.068,null,0.688,SAMHD1,1.967,true
DHX58,4.05,null,0.428,SAMHD1,1.967,true
EGR1,0.776,null,0.532,SAMHD1,1.967,true
GBP5,2.369,null,0.451,SAMHD1,1.967,true
HERC5,4.008,null,0.528,SAMHD1,1.967,true
HERC6,4.332,null,0.405,SAMHD1,1.967,true
HLA-A,0.543,null,0.57,SAMHD1,1.967,true
HLA-B,0.902,null,0.599,SAMHD1,1.967,true
HLA-C,0.891,null,0.581,SAMHD1,1.967,true
HLA-E,1.006,null,0.52,SAMHD1,1.967,true
HLA-F,0.613,null,0.543,SAMHD1,1.967,true
HLA-G,0.735,null,0.524,SAMHD1,1.967,true
IFI16,4.336,null,0.562,SAMHD1,1.967,true
IFI27,4.34,null,0.76,SAMHD1,1.967,true
IFI35,2.561,null,0.682,SAMHD1,1.967,true
IFI6,6.886,null,0.756,SAMHD1,1.967,true
IFIT1,5.051,null,0.825,SAMHD1,1.967,true
IFIT2,6.169,null,0.701,SAMHD1,1.967,true
IFIT3,5.672,null,0.804,SAMHD1,1.967,true
IFIT5,2.509,null,0.634,SAMHD1,1.967,true
IFITM1,7.056,null,0.762,SAMHD1,1.967,true
IFITM2,1.809,null,0.677,SAMHD1,1.967,true
IFITM3,1.9,null,0.808,SAMHD1,1.967,true
IFNB1,7.722,null,0.477,SAMHD1,1.967,true
IRF1,1.782,null,0.697,SAMHD1,1.967,true
IRF7,2.612,null,0.814,SAMHD1,1.967,true
IRF9,4.241,null,0.801,SAMHD1,1.967,true
ISG15,6.076,null,0.778,SAMHD1,1.967,true
ISG20,0.61,null,0.663,SAMHD1,1.967,true
MX1,6.495,null,0.765,SAMHD1,1.967,true
MX2,2.623,null,0.898,SAMHD1,1.967,true
OAS1,8.029,null,0.71,SAMHD1,1.967,true
OAS2,5.764,null,0.727,SAMHD1,1.967,true
OAS3,2.878,null,0.692,SAMHD1,1.967,true
OASL,7.594,null,0.667,SAMHD1,1.967,true
PARP9,3.938,null,0.454,SAMHD1,1.967,true
PSMB8,3.346,null,0.683,SAMHD1,1.967,true
RSAD2,3.101,null,0.773,SAMHD1,1.967,true
UHRF1BP1,0.512,null,0.51,SCUBE3,-0.477,true
SLC1A4,0.719,true,0.464,SHMT2,0.856,true
SLC7A5,1.044,null,0.42,SHMT2,0.856,true
SQOR,0.0,null,0.499,SHMT2,0.856,true
TRIB3,1.504,null,0.534,SHMT2,0.856,true
TRIM21,2.29,null,0.423,SHMT2,0.856,true
ASNS,1.093,true,0.778,SHMT2,0.856,true
CARS1,0.0,true,0.452,SHMT2,0.856,true
GPT2,0.527,true,0.496,SHMT2,0.856,true
PSPH,0.502,true,0.996,SHMT2,0.856,true
ACO1,-0.596,null,0.487,SHMT2,0.856,true
AIFM2,0.845,null,0.498,SHMT2,0.856,true
ALDH1L2,1.236,null,0.971,SHMT2,0.856,true
CTH,0.724,null,0.666,SHMT2,0.856,true
DAO,1.546,null,0.96,SHMT2,0.856,true
DMGDH,1.907,null,0.838,SHMT2,0.856,true
FADS6,1.372,null,0.446,SHMT2,0.856,true
MTHFD2,0.894,null,0.997,SHMT2,0.856,true
MTO1,0.427,null,0.425,SHMT2,0.856,true
PCK2,1.425,null,0.562,SHMT2,0.856,true
RBCK1,0.647,null,0.442,SHMT2,0.856,true
SDSL,0.443,null,0.957,SHMT2,0.856,true
SLC3A2,1.22,null,0.725,SLC1A4,0.719,true
SLC7A11,1.074,null,0.521,SLC1A4,0.719,true
SLC7A2,-0.596,null,0.479,SLC1A4,0.719,true
SLC7A3,0.564,null,0.419,SLC1A4,0.719,true
SLC7A5,1.044,null,0.671,SLC1A4,0.719,true
ASNS,1.093,true,0.502,SLC1A4,0.719,true
CARS1,0.0,true,0.425,SLC1A4,0.719,true
PSPH,0.502,true,0.551,SLC1A4,0.719,true
SHMT2,0.856,true,0.464,SLC1A4,0.719,true
STAT1,4.095,null,0.719,SP110,4.049,true
TAP1,4.812,null,0.502,SP110,4.049,true
TRIM21,2.29,null,0.444,SP110,4.049,true
TRIM22,4.248,null,0.487,SP110,4.049,true
XAF1,2.24,null,0.798,SP110,4.049,true
ADAR,0.881,true,0.474,SP110,4.049,true
EIF2AK2,2.24,true,0.691,SP110,4.049,true
IFIH1,7.776,true,0.643,SP110,4.049,true
SAMD9L,4.595,true,0.777,SP110,4.049,true
CENPB,-0.692,null,0.424,SP110,4.049,true
DDX58,4.068,null,0.784,SP110,4.049,true
DDX60,5.701,null,0.47,SP110,4.049,true
DDX60L,5.26,null,0.489,SP110,4.049,true
DTX3L,3.653,null,0.51,SP110,4.049,true
EPSTI1,1.991,null,0.491,SP110,4.049,true
GBP1,2.913,null,0.516,SP110,4.049,true
GBP5,2.369,null,0.407,SP110,4.049,true
HELZ2,0.0,null,0.445,SP110,4.049,true
HERC5,4.008,null,0.451,SP110,4.049,true
HERC6,4.332,null,0.467,SP110,4.049,true
IFI16,4.336,null,0.415,SP110,4.049,true
IFI35,2.561,null,0.78,SP110,4.049,true
IFI44,6.963,null,0.584,SP110,4.049,true
IFI44L,5.515,null,0.628,SP110,4.049,true
IFI6,6.886,null,0.441,SP110,4.049,true
IFIT1,5.051,null,0.482,SP110,4.049,true
IFIT2,6.169,null,0.547,SP110,4.049,true
IFIT3,5.672,null,0.768,SP110,4.049,true
IFIT5,2.509,null,0.425,SP110,4.049,true
IRF7,2.612,null,0.651,SP110,4.049,true
IRF9,4.241,null,0.489,SP110,4.049,true
ISG15,6.076,null,0.543,SP110,4.049,true
MX1,6.495,null,0.664,SP110,4.049,true
MX2,2.623,null,0.666,SP110,4.049,true
NMI,3.042,null,0.433,SP110,4.049,true
OAS1,8.029,null,0.773,SP110,4.049,true
OAS2,5.764,null,0.766,SP110,4.049,true
OAS3,2.878,null,0.707,SP110,4.049,true
OASL,7.594,null,0.495,SP110,4.049,true
PARP12,4.326,null,0.431,SP110,4.049,true
PARP14,3.908,null,0.537,SP110,4.049,true
PARP9,3.938,null,0.775,SP110,4.049,true
PLSCR1,3.064,null,0.418,SP110,4.049,true
PSMB9,1.113,null,0.493,SP110,4.049,true
RSAD2,3.101,null,0.505,SP110,4.049,true
RTP4,3.123,null,0.522,SP110,4.049,true
SAMD9,5.041,null,0.54,SP110,4.049,true
SH3BP2,-1.497,null,0.433,SP110,4.049,true
SP100,5.123,null,0.833,SP110,4.049,true
UBD,2.467,null,0.529,STAMBP,0.498,true
OTUD1,0.724,null,0.447,STAMBP,0.498,true
PSMB9,1.113,null,0.469,STAMBP,0.498,true
LAP3,1.459,null,0.545,TAPT1,0.469,true
ADAR,0.881,true,0.643,TREX1,0.526,true
IFIH1,7.776,true,0.496,TREX1,0.526,true
SAMHD1,1.967,true,0.921,TREX1,0.526,true
DDX58,4.068,null,0.487,TREX1,0.526,true
DHX58,4.05,null,0.405,TREX1,0.526,true
IFI16,4.336,null,0.469,TREX1,0.526,true
IFNB1,7.722,null,0.468,TREX1,0.526,true
IRF7,2.612,null,0.53,TREX1,0.526,true
PNPT1,1.445,null,0.422,TREX1,0.526,true
CARS1,0.0,true,0.438,TRIT1,0.437,true
PSPH,0.502,true,0.482,TRIT1,0.437,true
MTO1,0.427,null,0.704,TRIT1,0.437,true
PNPT1,1.445,null,0.509,TRIT1,0.437,true
TUBA8,0.5,null,0.433,TUBA1A,-0.544,true
TUBE1,0.538,null,0.522,TUBA1A,-0.544,true
YBX1,-1.367,null,0.46,TUBA1A,-0.544,true
ACTG2,-0.862,true,0.411,TUBA1A,-0.544,true
CDC42,-0.76,true,0.934,TUBA1A,-0.544,true
CFAP53,0.0,null,0.846,TUBA1A,-0.544,true
EFHB,1.442,null,0.891,TUBA1A,-0.544,true
OPTN,0.901,null,0.514,TUBA1A,-0.544,true
USP41,5.179,null,0.735,USP18,5.139,true
XAF1,2.24,null,0.777,USP18,5.139,true
ZC3HAV1,2.077,null,0.474,USP18,5.139,true
ZNFX1,1.162,null,0.647,USP18,5.139,true
ADAR,0.881,true,0.587,USP18,5.139,true
EIF2AK2,2.24,true,0.875,USP18,5.139,true
IFIH1,7.776,true,0.857,USP18,5.139,true
SAMD9L,4.595,true,0.685,USP18,5.139,true
SAMHD1,1.967,true,0.585,USP18,5.139,true
BATF2,5.647,null,0.415,USP18,5.139,true
BST2,8.756,null,0.671,USP18,5.139,true
CMPK2,3.282,null,0.883,USP18,5.139,true
CMTR1,0.0,null,0.405,USP18,5.139,true
CXCL10,6.996,null,0.726,USP18,5.139,true
CXCL11,5.091,null,0.524,USP18,5.139,true
DDX58,4.068,null,0.94,USP18,5.139,true
DDX60,5.701,null,0.79,USP18,5.139,true
DDX60L,5.26,null,0.407,USP18,5.139,true
DHX58,4.05,null,0.914,USP18,5.139,true
DTX3L,3.653,null,0.427,USP18,5.139,true
EPSTI1,1.991,null,0.788,USP18,5.139,true
GBP1,2.913,null,0.59,USP18,5.139,true
GBP5,2.369,null,0.419,USP18,5.139,true
HELZ2,0.0,null,0.57,USP18,5.139,true
HERC5,4.008,null,0.956,USP18,5.139,true
HERC6,4.332,null,0.902,USP18,5.139,true
IFI16,4.336,null,0.417,USP18,5.139,true
IFI27,4.34,null,0.771,USP18,5.139,true
IFI35,2.561,null,0.805,USP18,5.139,true
IFI44,6.963,null,0.939,USP18,5.139,true
IFI44L,5.515,null,0.903,USP18,5.139,true
IFI6,6.886,null,0.894,USP18,5.139,true
IFIT1,5.051,null,0.949,USP18,5.139,true
IFIT2,6.169,null,0.809,USP18,5.139,true
IFIT3,5.672,null,0.902,USP18,5.139,true
IFIT5,2.509,null,0.866,USP18,5.139,true
IFITM1,7.056,null,0.556,USP18,5.139,true
IFITM3,1.9,null,0.673,USP18,5.139,true
IFNB1,7.722,null,0.785,USP18,5.139,true
IFNL1,0.0,null,0.476,USP18,5.139,true
IRF1,1.782,null,0.718,USP18,5.139,true
IRF7,2.612,null,0.936,USP18,5.139,true
IRF9,4.241,null,0.773,USP18,5.139,true
ISG15,6.076,null,0.999,USP18,5.139,true
ISG20,0.61,null,0.642,USP18,5.139,true
LAP3,1.459,null,0.439,USP18,5.139,true
LY6E,3.259,null,0.602,USP18,5.139,true
MX1,6.495,null,0.958,USP18,5.139,true
MX2,2.623,null,0.931,USP18,5.139,true
OAS1,8.029,null,0.96,USP18,5.139,true
OAS2,5.764,null,0.916,USP18,5.139,true
OAS3,2.878,null,0.91,USP18,5.139,true
OASL,7.594,null,0.926,USP18,5.139,true
PARP12,4.326,null,0.585,USP18,5.139,true
PARP14,3.908,null,0.538,USP18,5.139,true
PARP9,3.938,null,0.698,USP18,5.139,true
PLSCR1,3.064,null,0.568,USP18,5.139,true
PSMB8,3.346,null,0.472,USP18,5.139,true
PSME2,0.684,null,0.427,USP18,5.139,true
RSAD2,3.101,null,0.954,USP18,5.139,true
RTP4,3.123,null,0.917,USP18,5.139,true
SAMD9,5.041,null,0.56,USP18,5.139,true
SOCS1,1.12,null,0.548,USP18,5.139,true
STAT1,4.095,null,0.886,USP18,5.139,true
STAT2,1.3,null,0.957,USP18,5.139,true
TDRD7,3.174,null,0.435,USP18,5.139,true
TLR3,4.082,null,0.678,USP18,5.139,true
TRIM21,2.29,null,0.697,USP18,5.139,true
TRIM22,4.248,null,0.516,USP18,5.139,true
TRIM25,2.637,null,0.582,USP18,5.139,true
TRIM5,0.631,null,0.402,USP18,5.139,true
TUBA8,0.5,null,0.445,USP18,5.139,true
UBA7,0.935,null,0.921,USP18,5.139,true
UBD,2.467,null,0.512,USP18,5.139,true
PIAS1,-1.128,null,0.526,XPA,0.872,true
PMS2,0.542,null,0.897,XPA,0.872,true
TDRD7,3.174,null,0.417,XPA,0.872,true
UNG,-0.386,null,0.613,XPA,0.872,true